id,first_name,sex,country
0,amin,male,austria
1,alka,female,south africa
2,max,male,austria
3,ratul,male,south africa
4,emma,female,germany
5,james,male,united states
6,sophie,female,united kingdom
7,lucas,male,canada
8,isabella,female,australia
9,liam,male,ireland
10,charlotte,female,france
11,noah,male,sweden
12,olivia,female,spain
13,ethan,male,italy
14,mia,female,japan
15,william,male,south korea
16,amelia,female,brazil
17,alexander,male,mexico
18,ava,female,argentina
19,michael,male,india
20,emily,female,china
21,daniel,male,russia
22,grace,female,saudi arabia
23,matthew,male,united arab emirates
24,christopher,male,singapore
25,lily,female,malaysia
26,david,male,philippines
27,harper,female,indonesia
28,jacob,male,thailand
29,samantha,female,vietnam
30,jackson,male,new zealand
31,sofia,female,egypt
32,joseph,male,kenya
33,victoria,female,nigeria
34,zoe,female,austria
35,robert,male,germany
36,oliver,male,united states
39,chloe,female,ireland
41,sophia,female,sweden
42,mason,male,spain
